acorn_out1.png,"stem, cap, smooth, woody, poisonous, rough, pointy, natural, intact, scaly|acorn, squirrels, hard, pithy, green, brown, fairy hat, oak, tree"
crab02_out1.png,"legs, eyes, joints, flat, shaped like a football, pointed ends| probably lives in the ocean, has lots of legs, probably small"
crab02_out1.png,"legs, crab, claws, pincers, shell, head, eyes, red, shellfish, sea creature|an animal that snips people on the beach, food that is often served in fancy places"
crab02_out1.png,"crab, claws, flat, eat, pinchers, legs, eyeballs, crabwalk, sea life|i like to see these when i go to the beach, i think they're funny"
crab02_out1.png,"multiple appendages, circular body shape, tiny eye-like structures, pointy ends|sea life, sea food, small animals, crawling animals, beach sighting,"
crab02_out1.png,"crab, hard shell, pinchers, legs, scuddle, feelers, animal, underbelly, arms|pinch, ocean, dinner, walks, hard, hurts, beach, shells, salt water, hide"
crab02_out1.png,"crab, South Carolina, angry temperament, claw grows back if it is lost, crustacean, ocean, tasty, seafood|Crabcake recipes from South Carolina, blue crabs and red crabs on the beach"
dolphin01_out1.png,"dolphin, porpoise. ocean, sea, jump, jumping, sleek, tail, fin, beak|Ocean, beach, sea, aquarium, tricks, jumps, show, sea life, seaworld"
dolphin01_out1.png,"fins, gray in color, looks peaceful and serene, ocean animal|beach, ocean, would love to see it right now, calming"
dolphin01_out1.png,"Very muscular, Smooth, A large fin, A big nose, Black eyes|A dolphin playing in the water, A dolphin jumping through hoops"
dolphin01_out1.png,"eyes, flippers, tail, skin, dorsal fin, dolphin, mouth, beak, snout|underwater, ocean, biology, mammals, sea, amusement parks, animals, cute, tropical"
dolphin01_out1.png,"tail, fin, skin, eye, mouth, beak, stomach, nose, gills, muscle|intelligence, smart, fun, cute, swimming, ocean, humanity, kind, silly, worldwide"
dolphin01_out1.png,"bottle-nose, mammal, ocean dweller, dolphin, blow hole, powerful swimmer, friendly to humans|This dolphin reminds me of images I've seen of an albino dolphin in the Gulf of Mexico, Flipper the television show as well that came in that 1970s,"
dolphin01_out1.png,"Sleek long gray body, shiny, triangular top fin, small front flippers|Dolphin, friendly, intelligent, swimming mammal, graceful, ocean, leaping, chattering voice"
dolphin01_out1.png,"fin, skin, nose, snout, ocean, glide, eyes, tricks, trainable, tracking|sea world, show, training, documentary, fish, dolphin, flipper, fin, snout"
dolphin01_out1.png,"dolphin, fins, dorsal fin, beak, flukes, melon, tooth beak, eye|smart, intelligent animal, free willy, riding dolphins, sea, ocean, blue"
dolphin01_out1.png,"An underwater mammal, fins, tail, eyes, and a distinctive nose|Sea World, the documentary Black Fish and the captivity of wild animals for entertainment"
dolphin01_out1.png,"dolphin, black and white, animal, ocean, water, fish, Sea World, tricks, intelligence|I think of a very intelligent sea mammal that can do cool things."
dolphin01_out1.png,"fin, nose, dolphin, mammal, body, head, eyes, fat, muscle, skin|I wonder what this animal thinks about all day long"
dolphin01_out1.png,"dolphin, grey, sleek, wet, black eyes, funny mouth, strong tail, dorsal fin|the dolphin is amazing and smart, i love to see them in the wild"
dragonfly01_out1.png,"insect, animal, living creature, wings, feelers, tail, body, skin, flyer|I wonder what goes through the mind of this creature all day"
dragonfly01_out1.png,"wings, antenna, legs, nose, pairs of wings to fly, mouth|when I am out by he lake, I sometimes see these"
dragonfly01_out1.png,"Tiny black insect with two sets of wings, long thin body, bulbous head|Dragonfly, hovering, helicopter, summertime, ponds, lakes, low flying insects, many colors"
dragonfly01_out1.png,"four wings, long body, antennae, thorax, abdomen, great flyers, large|i love to watch them fly, they're like tiny helicopters"
dragonfly01_out1.png,"dragonfly, veined wings, four wings, antennae, flying insect, segmented body|lucky symbol, helicopter, hovering flight, prehistoric, fishing bait, Asian art"
dragonfly01_out1.png,"dragonfly, thin wings, flying insect, antennae, dead, black and white|creepy, flies fast, paper thin wings, swampy areas, large insect"
dragonfly01_out1.png,"wings, head, body, tail, antennae, veined, large, eyes, capable of flight|insect, flight, summer, water, nature, outdoors, winged, low-flying, hover, long"
dragonfly01_out1.png,"four wings, six legs, insect, antenna , thick blunt tail, thorax, head,  |Dragonfly, damsel flies are even smaller, wonderful colors, my dad"
dragonfly01_out1.png,"A dead dragon fly on it's back, long tail with four wings|watching the dragon flies fly in the summer time, watching my kids run in terror from them"
dragonfly01_out1.png,"A fly, Very quick, Soft, Large wings, Antenna, Big eyes, |A fly flying around, Buzzing noise, Landing on a flower"
dragonfly01_out1.png,"dragonfly, wings, legs, buzzes, antennae, eyes, eats bugs, moves fast|Coheed and Cambria, serum, fields, sunlight, flies, itching, nature, insects"
dragonfly01_out1.png,"four wings, tail, two antenna, two eyes, four legs, fur |creepy, buzzing, loud, annoying, flying around my head, scary, biting"
dragonfly01_out1.png,"bug, wings, dragonfly, annoying, outside, summer, pesticide, lake, flowers, grass|I think of a hot summer day where a dragonfly is flying aroudnd."
dromedary_out1.png,"legs, paws, hump, neck, eyes, fur, animal, mammal, eyes, nose|I wonder what this mammal thinks about all day long"
dromedary_out1.png,"camel, hunch back, tall neck, four legs, tall animal, eye, tail.|Desert, hot climate, thick skinned animal, can live without water for many days, ship of the desert."
dromedary_out1.png,"camel, hump, hooves, long face, brown fur, dromedarian camel, tail|he looks tall and regal, camels just look very wise and steady footed"
dromedary_out1.png,"found in the dessert, double-humped and able to store food and water for long periods of time|the hump day commercial at the zoo where all the visitors are yelling out"
dromedary_out1.png,"a camel with one hump, a short tail, large knees|a hot arid desert, riding the camel at the zoo"
dromedary_out1.png,"camel, legs, belly, head, ears, eyes, nose, mouth, feet, toes|fur, desert, arabia, bible, camels, animals, nature, sand, water, thirst"
dromedary_out1.png,"Natural habitat is desart, used as pack animals, store water in humps, mammals, tan color|Used in the desert for riding and carrying items, zoos, chews cud, spits"
dromedary_out1.png,"hump, legs, long neck, tail, ears, weird feet, work animal|desert, mean, bad breath, spitting, gross teeth, smelly, hump, dromedary"
dromedary_out1.png,"Long neck, long legs, hump, odd mouth, smell, hair, dromedary.|Crossing deserts, Lawrence of Arabia, Bear Grylls, survival, camel cavalry, long distance journeys, Middle East."
dromedary_out1.png,"camel, long neck, long legs, two toes, single hump, eyes, mouth, spits|Arabs, nomads, travelers, middle east, conflict, irritable, sabres, caravan, homeless"
dromedary_out1.png,"camel, one hump, Dromedary, desert animal, hooves, mammal, herbivore, spitting, big eyes|Ship of the desert, Lawrence of Arabia, three wise men, zoo, Joe Camel, cigarettes, camel-toe"
dromedary_out1.png,"dromedary, doesn't need much water, desert, caravan, hairy, long necks|I think of a long caravan travelling through some dry desert in the Middle East.  I also think about the camel that tried to put it's head our car at a drive-thru safari."
dromedary_out1.png,"one hump, long neck, runs fast, two toed, hairy, long eye lashes, short tail, two ears, knees|desert, dweller, middle east, thirsty, fat deposits, spit, flies, tents, ancient"
duck01_out1.png,"duck bill, webbed feet, striped wing, mottled chest, tail feathers|feeding ducks in the park, duck decoy, Duck Dynasty show, quacking sounds"
duck01_out1.png,"animal, duck, youth, web, feet, legs, face, body, feathers, wings, beak, eyes|I wonder what thoughts go through this animal's mind in a usual week"
duck01_out1.png,"young duck, webbed feet, feathers, beak, standing on 2 feet,|lakes, baby ducks, spring weather, fishing, childhood, rivers, playful, fun"
duck01_out1.png,"webbed feet, feathers, smooth beak, spotted, swimming bird, round head, oval body|water bird, diving, paddles on water, hunts under water, water dweller eater, flies well, migrates"
duck01_out1.png,"bird, duck, black, white, grey, eyes, feet, tail, beak, fur|swimming in the pond, feeding it bread, flying in the air"
duck01_out1.png,"fat little body covered with feathers, soft round head, long flat beak|Duck, cruising around lakes, flying in formation overhead, sweet yellow chicks"
duck01_out1.png,"webbed feet, dotted feathers, hard bill, multi colored (both light and dark)|funny looking, cute, pond near my house, baby duck, baby ducks waddling behind mother"
duck01_out1.png,"feathered, flat bill, webbed feet with tiny claws, speckled chest, striped wings|lonely, looking for food, quack!, lots of small bugs, where are the kids?, domestic birds"
duck01_out1.png,"duck, short wings, flat feet, small tail, long bill, spots|duck, water, swimming, flying, pond, pretty feathers, eats bread, oval head"
duck01_out1.png,"duck, feathers, spotted breast, webbed feet, tail, eyeballs, dark beak|it looks like a stuffed duck, i don't think he's alive"
duck01_out1.png,"Bill, two webbed feet, two wings, feathers, down, quack, duck.|Many beautifully feathered ducks swimming in city ponds, enchanting children and adults alike."
duck01_out1.png,"bill, eyes, two legs, webbed feet, feathers, tail, spotted feathers|water loving birds, land dwelling birds, duck family, pond, chicks,"
feather01_out1.png,"Soft white strands, stiff hollow center tube, weightless, warm, fragile|Bird feather, eagle, seagull, goose down, sneeze, lightweight, quill pen"
feather01_out1.png,"white feather, down, small, scraggly, loose, fluffy, soft, good for tickling|this looks like the feathers that come out of my duvet"
feather01_out1.png,"bird feather, down, soft, lightweight, quill, velvety texture, small, white|opening scene of Forrest Gump, light as a feather, pillow fights, sneezing, chicken coops"
feather01_out1.png,"fluffy, tickles, light weight, soft, airy, thin, floats, natural, protective.|birds have them, used to fly, they protect the birds."
feather01_out1.png,"curved structure, multiple strands, middle stalk structure, pointy base end|parts of a bird, feather structure, farm chicken, old school pen"
feather01_out1.png,"black and white, greyscale, bird feather, soft, light, detached, one|birds, duck, down, flying, pillows, crafts, decoration, light, floating, tickle"
feather01_out1.png,"feather, light, white, spine, irregular, quill, falling, write, insular, soft|Last time that I made a pen, I started with a feather"
feather01_out1.png,"Fluffy, Soft, White, Gray, Fringed, Small, Light, Barb, Shaft, Shiny,|Tickling, Pillows, Chicken, Geese, Ducks, Seagulls, Parakeets, Owls, Doves, Pelican,"
feather01_out1.png,"feather, old looking, light color, falling apart a little, detached|old feather that came from somewhere, detached from original place"
feather01_out1.png,"FEATHER, GREY COLOUR, FINE, WHITE LINE IN THE CENTRE, SOFT, LIGHT WEIGHT.|BIRDS, COLOURFUL, KID 'S COLLECTION, HOBBY, SOFT, FLUFFY, FEATHERY FEEL, NEST MAKING."
feather01_out1.png,"feather, spine, from a bird, tickles, tiny hairs, down, goes in pillows|birds, flight, pillows, sleep, dreams, pillow fights, comfort, rest, relaxation"
feather01_out1.png,"light colored feather, came from a bird, large in size|can be used for decoration, sometimes said to bring good luck"
feather01_out1.png,"strands, spine, comes from bird or duck, helps animal to fly or swim|lake, blowing in breeze, ticklish, soft, downy, pillows, ocean, sky"
firtree_out1.png,"Tree, pine cones, thistles, branches, needles, lives year round, green|Christmas, snow, family, cutting down, decorating, garland, bulbs, water, cleaning up needles"
firtree_out1.png,"A tall pine tree, the bottom has been completely removed|Christmas time, Christmas presents, childhood allergies, pine needles all over the floor"
firtree_out1.png,"tree, long, green, frosty, spiky, sharp, pointy, triangle, long, crispy|Christmas, pinecones, evergreen, snow, gifts, family, ornaments, star, presents, santa"
firtree_out1.png,"tree, winter, Christmas, tall, outside, holidays, cheer, decorations, lights, family|I think of a large Christmas tree being decorated by a family."
firtree_out1.png,"Tree, needles, seeds and cones, bark, branches, green, natural, sappy, trunk

|Holiday preparations of decorating a tree for Christmas and placing gifts under it"
firtree_out1.png,"tree, living being, vegetation, plant life, large, tall, big, natural item|I wonder what the current price of this item is"
firtree_out1.png,"pine tree, lots of needles, has a smell, tall and big|looking for a Christmas tree, lots of needles, smells bad"
firtree_out1.png,"short needles, dense branches, cone shaped, smells like pine, christmas decoration|makes me think of christmas!, i love to cut down our tree"
firtree_out1.png,"Tall cone shaped tree, soft evergreen branches, short trunk, pointed top|Fir tree, Christmas, pine scent, holiday decoration, winter, forest, thick branches"
firtree_out1.png,"Perfectly shaped Christmas tree, pine tree, evergreen tree, conifer, tree|Christmas tree farms, the type of tree we look for when we go to the tree farm to cut a Christmas tree"
firtree_out1.png,"pine tree, lots of needles, grows really tall, smells bad|Christmas tree for family, smells bad, looses needles in carpet"
firtree_out1.png,"conical shaped, sharp needles, holiday, Christmas tree farm, multiple small branches|This tree looks like the one I got a few Christmases ago that shed needles like crazy that would harden and then impale your feet as you walked by"
firtree_out1.png,"fir tree, evergreen, cone shape, pyramidal, full foliage, well-shaped, branches with needles|Little Fir Tree story, Christmas tree farm, O Tannenbaum, trimming the tree"
flamingo_out1.png,"TALL DUCK, TWO  LONG LEGS, LONG NECK, CURVED BEAK, BLACK BEAK.WEBBED FEET|POND, CATCHES FISHES, AQUATIC BIRD, PURITY, SNOW WHITE COLOUR, QUACK SOUND."
flamingo_out1.png,"Flamingo, long legs, webbed feet, curved bill, long neck, feathers.|flock of birds, soft feathers, eating shrimp, pink coloration, standing on one leg."
flamingo_out1.png,"pink flamingo, long legs, webbed feet, long neck, large beak|interesting to look at, stands tall, seen in zoos, known for lawn decorations"
flamingo_out1.png,"pink feathers, tall orange legs, webbed feet, large orange beak|graceful bird that is elegant, peaceful, beautiful, beautiful pink feathers,"
flamingo_out1.png,"Very long legs with webbed feet at the end, fat feathered body, long curved neck|Flamingo, pink birds who live in crowds, Las Vegas, bright colors"
flamingo_out1.png,"vibrant pink shades of feathers, elaborate mating rituals, diet determines color |This reminds me of flamingo yard art that I often see if people's yards, some even have flocks of pink flamingos decorating their flower beds"
flamingo_out1.png,"flamingo, long neck, black beak, long legs, funny feet, pink|flamingos are so weird, how do they walk?, their legs are so thin"
flamingo_out1.png,"flamingo, pink, neck, beak, legs, feet, feathers, wings, tail, head|head buried in sand, stubborn, tacky yards, zoos, fast runner"
flamingo_out1.png,"tall, skinny legs, two webbed feet. long s shaped neck, feathers|a bird that eats shrimp, a bird that stands on one leg, a flightless bird"
flamingo_out1.png,"flamingo, bird, tall, long neck, webbed feet, feathers, thin legs|tall, slow moving, flying, pink feathers, long necks, regal, beautiful"
flamingo_out1.png,"feet, web, skin, fur, neck, nose, eye, bird, animal, mammal|I wonder what this animal thinks about all day long"
flamingo_out1.png,"flamingo, S-shaped neck, feathers, curved beak, long legs, backward knees|lawn ornament, trailer parks, Florida, fluorescent pink, standing on one leg"
flamingo_out1.png,"long legs, pink, long curved beak, long graceful curved neck, feathers|graceful, wild, fragile, lawn ornaments, redneck, South US, Christmas lights wrapped around the front porch"
flower01_out1.png,"flower, white, green, stem, branch, petals, pollen, smells good, pretty|bees, nectar, decorations, picking, outside, nature, gift for girlfriend, flowing in the breeze"
flower01_out1.png,"flower, crowded petals, enticing smell, hidden bee inside, woody stem, green leaves|This flower reminds me of the camellias that grow at my old home, some varieties of camellias have leaves that bunch together similar to the image"
flower01_out1.png,"beauty, petals, color, leaves, stem, flower, bloom, blossom, center, greenery|plants, gardening, nature, roses, romance, life, botany, greenhouse, backyard, pretty"
flower01_out1.png,"soft petals in different colors, long stems, lots of leaves|smells really good, variety of colors, smells good, soft petals"
flower01_out1.png,"white carnation with a short stem and three leaves attached|the smell of walking into a flower shop, sneezing uncontrollably"
flower01_out1.png,"Soft, fragile white petals, tough green stem, flat sharp leaves|Pretty white flower, garden variety, domestic plant, landscaping, bouquet, sweet smelling"
flower01_out1.png,"peony, fluffy petals, green leaves, fragrant, natural, pretty, floral, cut|peonies are my favorite flowers, i love how full and pretty they are"
flower01_out1.png,"flower, leaf, stem, petal, smell, soft, colorful, pink, white, water|flowers, nature, green, stem, pink, white, yellow, smells good, rose"
flower01_out1.png,"white flower, many petals, green stem, looks beautiful, great for decorating|smells great, nice centerpiece for a table, delicate looking, nice gifts"
flower01_out1.png,"dark colored flat leaf, light colored flower, multiple petal structures|beautiful plants, indoor and outdoor decorations, plant life, living things"
flower01_out1.png,"Petals, leaves, stems, soft, beautiful, blooming, open, elegant, drooping, colorful|Bouquets, weddings, flower shops, prom, gardens, butterflies, bees, celebration, happy events"
flower01_out1.png,"flower, petals seem to be light color, three leaves behind it, fluffy|pretty flower, maybe white, fluffy petals, easy to be picked"
flower01_out1.png,"flower, delicate petals, leafy stem, irregular edges, pale color, single blossom|intoxicating gardenia smell, trail of flower petals, romance, perfume, southern gardens"
garlic01a_out1.png,"garlic, cloves, papery skin, ribbed, small, grocery produce, cut stem, semi-round|tricks for peeling garlic, tool for crushing cloves, Vampires, garlic necklace, garlic breath"
garlic01a_out1.png,"garlic, light color, all the cloves still together, packed together|a bunch of garlic cloves, in the original fruit, still together"
garlic01a_out1.png,"scaly outside, weird shape, stalk at the top, hole in the middle,|smelly, onion, food, use to cook, water eyes, a herb"
garlic01a_out1.png,"Flakey paper like peel, segments called cloves, white to pale yellow color, bulb|Savory ingredients, Grows as s bulb, cloves often minced when added to food, antibacterial properties"
garlic01a_out1.png,"Small, bumpy, papery thin white skin, dry, flaky, uneven lumps|Garlic, natural healer, bad breath, strong tasting flavor seasoning, spaghetti"
garlic01a_out1.png,"black and white, layers, skin, cloves, stem, fruit, smell, big, white, round|garlic, vampires, food, cooking, sautee, knife, cut, grocery, folklore, healthy,"
garlic01a_out1.png,"garlic, paper-like skin, powerful smell, flavorful addition to recipes, world famous bulb|This reminds me that garlic has such  potent smell, if I don't close the jar of it in my refrigerator it will reek, it is a relative of onions"
garlic01a_out1.png,"onion, wrap, white, pull, stem, taste, cook, eat, touch, unwrap|garden, seed, plant, pick, eat, cook with, taste, season, use"
garlic01a_out1.png,"I am not sure what this is, it might be a vegetable of some kind|I wonder what the value of this item is, I wonder what it tastes like"
garlic01a_out1.png,"flaky peel, cut off roots, large in size, probably 15 cloves|i love peeling fresh garlic and how it smells when you slice it up"
garlic01a_out1.png,"small in size, white in color, round, stem, film on outside, |it stinks, makes the house smell, tastes good on pizza"
garlic01a_out1.png,"onion, white, stem, papery skin, vegetable, spicy, rounded, hard layers,|crying when cutting, add spice to food, sizzling, browning onions, pasta and italian dishes, gardening, growing"
garlic01a_out1.png,"multiple cloves, closed in, paper thin white sheath, whole garlic|pungent smell, tomato sauce, sauteeing in butter, chopping, smashing, healthy"
giraffe_out1.png,"eyes, nose, mouth, ears, long neck, skinny legs, hooves, spots|huge, majestic, strong, quick, old, natural, Africa, Savannah, herd, pride"
giraffe_out1.png,"black and white, giraffe, long legs, long neck, mammal, tall|I think of going to a safari when I see this image."
giraffe_out1.png,"tall, long neck, spotted coat, giraffe, hooves, herbivore, leaf-eater, horns, big eyes, knobby knees|safari, Africa, zoo, batting eyelashes, giraffe print fabric, galloping across the plain, at the waterhole"
giraffe_out1.png,"tall, long legs, spots, long neck, small horns, tail, cleft hoofs|giraffe, graceful, feeds from trees, long neck to reach food, spotted markings"
giraffe_out1.png,"spots, long neck, eats from tall trees, runs faster than you think, tallest land mammal|Giraffes are tall and a popular toy with babies right now, they live in Africa on the savanna, can reach the top of the trees"
giraffe_out1.png,"tall, black, white, horns, legs, arms, mammal, lanky, hooves, neck|graceful, tall, friendly, pretty, strong, proud, cool, classic, natural, good"
giraffe_out1.png,"Yellow and black spotted mammal, long neck, small pointed head, stubby velvety horns|Giraffe, Africa, wild, trees, omnivore, zoo, long legs, knobby knees"
giraffe_out1.png,"Tall, Long Legs, Spots, Ears, Snout, Hooves, Tail, Brown, Yellow, Black|Zoo, Africa, Lions, Safari, Wild-lands, Grass, Trees, Savannah, Tigers, Cheetahs"
giraffe_out1.png,"giraffe, tall, legs, body, face, torso, eyes, face, mammal, living creature|I wonder what goes through the mind of this being normally"
giraffe_out1.png,"hooves, ears, horns, nose, snout, patches, fur, tail, legs, neck|tall, long, safari, zoo, animal, wild, Africa, large, giraffe, mammal"
giraffe_out1.png,"long neck, two little horns, long skinny legs, spots, long nose|what a beautiful animal, i remember they have long purple tongues"
giraffe_out1.png,"tall, spots, long legs, horns, long tongue, cute, hairy, smelly|zoos, happy, silly, animals, fast runners, long legs, weird tongues"
giraffe_out1.png,"tall, lanky, vegetarian, found mainly in the savannas or grass land



 |the movie Wild Thornberries when the are in African and watching the various animals graze"
gorilla_out1.png,"Long arms for reaching, strong hands, social instincts, omnivorous, intelligent|animal, similar to me, hairy, complex, person, ape, endangered, precious"
gorilla_out1.png,"gorilla, black, ape, animal, wild, jungle, monkey, beast, strong, furry|Wild animal, lives in the jungle, dangerous, capable of harm"
gorilla_out1.png,"Large furry brown body, long wide arms, deep ridged eye sockets|Gorilla, climbing tall trees, beating chests, grunting, aggressive, strong, family oriented"
gorilla_out1.png,"large gorilla, dark colored, long arms, medium sized legs, small ears|lives in the wild, likes to eat bananas, has fur"
gorilla_out1.png,"ape, hands, feet, lives in zoos and jungle, two ears, nose, mouth, eyes|I love watching them in the zoo.  Never realized how long their arms were."
gorilla_out1.png,"animal, ape, hands, fingers, feet, primate, living being, eyes, nose|I wonder what this being thinks about and what it enjoys"
gorilla_out1.png,"two arms, two legs, mouth, ears, nose, fur, two eyes|big, very strong, can be mean, walks like humans, human-like hands"
gorilla_out1.png,"gorilla, long arm, human like hands, stoic face, black fur|i love gorillas, they are such amazing creatures, he looks just like a man!"
gorilla_out1.png,"Arms, legs, nose, eyes, mouth, ears, hair, hands, feet, fingers, toes|Ape, human like, animal, aggressive, intelligent, playful, inquisitive, wild, endangered, zoo, primate"
gorilla_out1.png,"GORILLA, CHIMPANZEE, BLACK, APE, FURRY, EYES, NOSE, ARMS AND LEGS.|FEAR, FURIOUS, GIGANTIC, ZOO, WILD ANIMAL, FOREST, JUNGLE, ANIMAL  ATTACK , KING KONG."
gorilla_out1.png,"large animal, shaggy coat, long wide fingers and toes, small ears|very large, somber, beats his cheat, George of the Jungle, Tarzan"
gorilla_out1.png,"head, eyes, bones, blood, arms, hair, nose, ears, nerves, DNA|evolution, gorilla, walking upright, mammal, common ancestor, intelligent, banana, scary"
gorilla_out1.png,"ape. chimpanzee, primate, opposable thumb, hairy, walk on knuckles, short legs|monkey's uncle saying, Darwin, Scopes trial, poachers, nearly human DNA, zoo apes hurling feces"
grape03_out1.png,"bunch of dark grapes, they all look fresh and juicy|part of a healthy lifestyle or someone who wants a quick snack to go"
grape03_out1.png,"Many cool, small round fruits, bunched on rough, thin stalks|Grapes, healthy fruit, salad ingredient, used in different wines, grows on vines"
grape03_out1.png,"grapes, must, wine, jelly, lunchbox, bunch, red, green, black, seedless|Source for a variety of good things like grape juice, wine, jelly, cherubs stomping on them in paintings"
grape03_out1.png,"grapes, vine, stem, juice, purple, plucked, good, ripe, healthy, tasty|wine, drinking, parties, Romans, feasting, Pan, merry, revelry, friendship, good snack"
grape03_out1.png,"round, fruit, juicy, ball, juice, blue, black, stem, sweet, taste|fruit, tasty, yummy, taste, health, blue, blueberries, produce, snack, food"
grape03_out1.png,"blueberries, stem, fruit, antioxidants, healthy, snack, juice, vitamins, bush, lowfat|healthy,smoothie, fruit, juice, low calorie, blueberry, fruit salad, ice cream, jelly, vodka"
grape03_out1.png,"color, taste, berries, stems, grapes, bunch, skin, fruit, seeds, plant|taste, meal, snack, grocery store, farmers' market, food, cooking, eating"
grape03_out1.png,"food, nutrition, nutrients, fruit, grub, grapes, sugar, vitamins, consumable, once living|I wonder what it would taste like to eat this right now"
grape03_out1.png,"black, green, or red in color, comes on vine, round|sweet tasting, pull stems out, wash off and eat, good"
grape03_out1.png,"a vine with many grapes still attached to it, countless grapes|eating so many grapes with the family we all get sick later"
grape03_out1.png,"berries, grapes, vine, round, dark, shiny, smooth, spherical, rind, fruit|Wine, jam, jelly, eating grapes, coolness, moisture, pulling grapes off of the vine"
grape03_out1.png,"Purple dusty appearance. Grown on vines, used to make wine, fruit, juice|Alcohol, wine, dark red wines, welches grape juice, seedless, healthy, decoration"
grape03_out1.png,"healthy, berry, stems, dark in color, shiny, fresh, not frozen|What kind of berries are these?, I'm sure they are healthy"
greathornowl_out1.png,"owl, bird, black, hoot, predator, nest, nesting, species, animal, talons|I think of seeing an owl when I see this image."
greathornowl_out1.png,"eyes, horn, beak, feathers, white and dark feather patterns, sharp claws|wild animals, carnivorous birds, big birds, wild life, the great outdoors"
greathornowl_out1.png,"Long, brown and white feathered body, tufted feathery horns, bright, sharp eyes|Owl, wise, fast nighttime predator bird, Long, eerie hoot, carniverous"
greathornowl_out1.png,"eyes, feathers, bird, living being, claws, viewing, ears, mouth, body|I wonder what this animal thinks about all night long"
greathornowl_out1.png,"wings, feathers, eyes, beak, grey, black, white, talons, carrion, flies

|Harry Potter, Hogwarts, flies, eats rodents, my grandmother's knick knacks"
greathornowl_out1.png,"feather, eyes, talons, black and white, owl, pattern, wings, tufts, desaturation|owls, hooting, falconry, zoos, tootsie pops, smartness, owls, Disney sing-along-songs, death glare"
greathornowl_out1.png,"feathers, predator, quiet flyer, glaring eyes, tufted ears, sharp talons|This reminds me of a pet that a character from Harry Potter might have, I have an owl house in my yard that has yet to have an inhabitant, Owls also remind me of Halloween"
greathornowl_out1.png,"scary eyes, striped feathers, white patch, large bird, fluffy ears|he's scary, i would not mess with him, i wonder how big of an animal he eats?"
greathornowl_out1.png,"devious, evil, smart, intelligent, thoughtful, knowledgeable, organized, pretty, unique, special|surprised, astonished, confused, thoughtful, dazed, amused, jealous, interested, happy, glad"
greathornowl_out1.png,"Soft feathers, head that swivels around, nocturnal, large eyes, night visiom|Harry Potter, solitary animal, quite stealthy hunter, eats rodents, handsome animals"
greathornowl_out1.png,"large owl, multi colored feathers, piercing eyes, sharp talons, short beak|interesting creatures, looks mad, likes to eat small rodents, uses talons to kill prey"
greathornowl_out1.png,"long talons, fluffy coat, serious eyes, very large, light and dark coloring|Dignified, poised to strike, somber, serious, deadly, likes to hunt at night"
greathornowl_out1.png,"big eyebrows, scowling face, different colors feathers, long claws, white chin|hunter, killer, predator, owl pellets, mouse eater, fierce, owl noises, ""hoo hoo,"" nocturnal"
greatwhiteshark_out1.png,"teeth, shark, fish, animal, living being, eyes, fin, skin, muscle|What would being a shark be like, I wonder what sharks think about"
greatwhiteshark_out1.png,"wide barrel body tapering at the end, sharp triangular dorsal fin|Shark, dangerous mouthful of teeth, rubbery sleek skin, beady unblinking eyes"
greatwhiteshark_out1.png,"gills, teeth, mammal, grey, swims, fins, eyes, dangerous, large, smooth|a dangerous marine animal, eats meat, swims in the ocean"
greatwhiteshark_out1.png,"shark, long, huge, big teeth, eyes, snout, gills, fins, gill|sharks are scary, they can kill people easily, shark attack"
greatwhiteshark_out1.png,"shark, sharp teeth, fins, gills, must always be moving, eats people|jaws, don't go swimming, beaches, surfers, shark week, megalodon, creepy music"
greatwhiteshark_out1.png,"shark, rows of pointed teeth, dorsal fin, tail fin, black eye, white belly|Jaws theme, dead doll eyes, shark week, Sharknado, circling fin in water, panicked swimmers"
greatwhiteshark_out1.png,"white, grey, fins, sharp teeth, swim, ocean, bites, attacks people, |attack people when swimming, respect powerful creatures of the ocean"
greatwhiteshark_out1.png,"rubber skin, lots of sharp teeth, lots of fins, gills|attacks, bites, kills people, big, sharp teeth, predator, amazing animal"
greatwhiteshark_out1.png,"fins, razor like teeth, gills, black eyes, gray and white skin|danger, been in the news, eating human body parts, ocean animal"
greatwhiteshark_out1.png,"Smooth, Gray, White, Fins, Gills, Black Eyes, Sharp Teeth, Tail, Large, Angry|Water, Hunting, Attacks, Death, Fish, Aquarium, Sea Lions, Ocean, Jaws, Shark-Fin Soup, Whales"
greatwhiteshark_out1.png,"sharp teeth, tall fin on back, long side fins, strong and tall tail|terrifying, he just seems extra bulky and big, i would hate to see him in the water"
greatwhiteshark_out1.png,"tail, several fins, white belly, shark, sharp teeth, black eyes|surfers getting bitten, blue ocean, deep sea diving, scuba diving"
greatwhiteshark_out1.png,"rubbery texture, lots of teeth, four fins, snout, gills, eyes|scary, biting someone, swimming aimlessly, breathing water, metal shark tank"
greyhound_out1.png,"greyhound, short fur, ears, eyes, nose, tail, legs, feet, spots, lips, teeth|racing, betting, buses, poor service, fast, gambling, wagers, streamlines, winning"
greyhound_out1.png,"long sleek body, long legs, two eyes, mouth, tail, ears|beautiful greyhound, long sleek body, runs really fast, chases rabbits"
greyhound_out1.png,"a tall thin grey hound, spots on the coat of hair|dog racing in the summer time, grey hound bus station"
greyhound_out1.png,"animal, dog, canine, gray, spots, white coat, tall, greyhound, white background|dog, peace, curiosity, wonder, black and white, tall, greyhounds, white"
